year,month,date,Time,latitude,longitude,depth,magnitude,DATE
2004,6,18,22:06:19,10.7692,91.9176,0,3.5,2004-06-18
2004,6,27,9:30:24,11.7772,92.396,0,3.7,2004-06-27
2004,7,15,5:46:35,13.1177,93.131,32,4,2004-07-15
2004,7,15,5:56:03,12.9942,93.3591,58,3.8,2004-07-15
2004,8,4,8:42:44,12.0812,93.2309,54.1,4,2004-08-04
2004,8,20,6:54:25,12.6651,92.6927,31.3,4.3,2004-08-20
2004,8,23,9:27:18,10.3009,93.1318,43,4,2004-08-23
2004,9,19,21:15:45,11.1109,92.1139,0,3.5,2004-09-19
2004,9,20,8:02:33,12.517,92.5192,26,3.9,2004-09-20
2004,11,16,10:56:16,12.416,92.3862,26,3.6,2004-11-16
2004,12,17,1:58:20,12.9704,93.3266,0,3.7,2004-12-17
2004,12,26,1:34:31,11.3187,92.3723,0,5,2004-12-26
2004,12,26,1:38:53,13.2309,93.5466,58,4.8,2004-12-26
2004,12,26,1:39:55,10.9326,92.8652,0,4.9,2004-12-26
2004,12,26,1:52:45,10.3739,92.1358,29,5.2,2004-12-26
2004,12,26,1:55:38,11.5362,92.3613,40,4.5,2004-12-26
2004,12,26,2:12:18,10.9004,92.8155,62.2,4.2,2004-12-26
2004,12,26,2:12:34,11.6344,92.2357,20.3,4.5,2004-12-26
2004,12,26,2:15:59,12.3265,92.5478,20.1,5.6,2004-12-26
2004,12,26,2:26:04,11.9973,92.5224,0,4.6,2004-12-26
2004,12,26,2:36:08,12.1664,92.9116,27,5.8,2004-12-26
2004,12,26,2:52:00,12.5157,92.5264,19.8,5.8,2004-12-26
2004,12,26,3:44:08,13.5613,92.6727,22.6,5.1,2004-12-26
2004,12,26,4:30:49,10.4203,92.1998,29,4.9,2004-12-26
2004,12,26,4:37:53,11.7544,92.9973,46,4.5,2004-12-26
2004,12,26,4:41:45,13.2981,93.2504,35,4.6,2004-12-26
2004,12,26,4:58:03,11.0307,92.048,22.3,5,2004-12-26
2004,12,26,5:20:27,12.2009,92.3589,23,5.2,2004-12-26
2004,12,26,5:34:53,12.5189,93.2029,35.2,4.3,2004-12-26
2004,12,26,5:51:16,13.3352,92.1038,35,4.5,2004-12-26
2004,12,26,6:22:00,10.6031,92.3765,25,5.5,2004-12-26
2004,12,26,6:56:47,11.0033,92.3087,21.2,5.2,2004-12-26
2004,12,26,7:38:27,13.1521,93.044,32,5.7,2004-12-26
2004,12,26,7:46:31,13.0091,93.2004,32,4.3,2004-12-26
2004,12,26,7:55:09,12.8005,93.2117,0,4.5,2004-12-26
2004,12,26,8:15:29,13.5018,92.727,22.7,4.6,2004-12-26
2004,12,26,8:26:16,12.9849,93.4475,0,4.1,2004-12-26
2004,12,26,9:03:41,13.6074,92.7026,15.9,4.8,2004-12-26
2004,12,26,9:51:45,11.0818,93.4376,0,4.4,2004-12-26
2004,12,26,10:19:31,13.4389,92.8296,24.3,6.1,2004-12-26
2004,12,26,10:57:41,12.426,92.3844,26,5.2,2004-12-26
2004,12,26,11:05:00,13.5744,92.8381,12,6.3,2004-12-26
2004,12,26,12:07:57,10.5735,92.0807,0,3.9,2004-12-26
2004,12,26,12:09:42,12.279,92.5723,16.7,5.3,2004-12-26
